feature,feature value,n_samples,precision,recall,fbeta
workclass,Local-gov,409,0.782608695652174,0.6428571428571429,0.7058823529411765
workclass,Private,4495,0.7578027465667915,0.6257731958762887,0.6854884246188594
workclass,?,363,0.5714285714285714,0.35294117647058826,0.43636363636363634
workclass,State-gov,259,0.75,0.6891891891891891,0.7183098591549296
workclass,Self-emp-not-inc,539,0.7433628318584071,0.535031847133758,0.6222222222222221
workclass,Self-emp-inc,242,0.7931034482758621,0.8041958041958042,0.7986111111111112
workclass,Federal-gov,203,0.7613636363636364,0.8589743589743589,0.8072289156626505
workclass,Without-pay,3,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
education,11th,234,0.9,0.45,0.6
education,Bachelors,1034,0.7579185520361991,0.7938388625592417,0.775462962962963
education,Some-college,1513,0.6666666666666666,0.5150501672240803,0.5811320754716981
education,Doctorate,87,0.7846153846153846,0.8225806451612904,0.8031496062992126
education,HS-grad,2070,0.7719298245614035,0.3848396501457726,0.5136186770428016
education,7th-8th,136,1.0,0.4,0.5714285714285715
education,Masters,356,0.8153846153846154,0.8368421052631579,0.825974025974026
education,Prof-school,123,0.9285714285714286,0.9479166666666666,0.9381443298969072
education,5th-6th,72,1.0,0.5,0.6666666666666666
education,Assoc-acdm,189,0.7142857142857143,0.6666666666666666,0.689655172413793
education,10th,185,1.0,0.2222222222222222,0.3636363636363636
education,Assoc-voc,283,0.6190476190476191,0.6290322580645161,0.6240000000000001
education,12th,87,0.25,0.25,0.25
education,9th,102,1.0,0.14285714285714285,0.25
education,1st-4th,34,1.0,0.5,0.6666666666666666
education,Preschool,8,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
marital-status,Never-married,2105,0.8297872340425532,0.45348837209302323,0.5864661654135338
marital-status,Married-civ-spouse,3011,0.7516501650165016,0.6793437733035048,0.7136701919310614
marital-status,Divorced,870,0.8301886792452831,0.42718446601941745,0.5641025641025641
marital-status,Separated,220,1.0,0.3333333333333333,0.5
marital-status,Widowed,220,0.8181818181818182,0.42857142857142855,0.5625
marital-status,Married-spouse-absent,86,1.0,0.2857142857142857,0.4444444444444445
marital-status,Married-AF-spouse,1,1.0,0.0,0.0
feature,feature value,n_samples,precision,recall,fbeta
occupation,Protective-serv,129,0.7419354838709677,0.5227272727272727,0.6133333333333333
occupation,Exec-managerial,767,0.7526881720430108,0.7629427792915532,0.7577807848443844
occupation,Prof-specialty,853,0.7945544554455446,0.8316062176165803,0.8126582278481014
occupation,?,363,0.5714285714285714,0.35294117647058826,0.43636363636363634
occupation,Sales,735,0.7228915662650602,0.6153846153846154,0.6648199445983379
occupation,Adm-clerical,779,0.75,0.46788990825688076,0.576271186440678
occupation,Other-service,675,0.5,0.23333333333333334,0.3181818181818182
occupation,Transport-moving,333,0.75,0.3333333333333333,0.46153846153846156
occupation,Craft-repair,819,0.7580645161290323,0.5053763440860215,0.6064516129032258
occupation,Handlers-cleaners,258,0.625,0.3125,0.4166666666666667
occupation,Tech-support,190,0.7833333333333333,0.7230769230769231,0.752
occupation,Farming-fishing,204,0.8,0.36363636363636365,0.5000000000000001
occupation,Machine-op-inspct,377,0.8636363636363636,0.37254901960784315,0.5205479452054794
occupation,Priv-house-serv,31,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
relationship,Own-child,997,0.875,0.4375,0.5833333333333334
relationship,Wife,316,0.7154471544715447,0.5641025641025641,0.6308243727598566
relationship,Not-in-family,1696,0.8043478260869565,0.4805194805194805,0.6016260162601625
relationship,Husband,2647,0.7571560480147738,0.6955046649703138,0.7250221043324491
relationship,Unmarried,662,0.8421052631578947,0.2962962962962963,0.4383561643835616
relationship,Other-relative,195,1.0,0.3333333333333333,0.5
feature,feature value,n_samples,precision,recall,fbeta
race,White,5567,0.7645134914145544,0.6497567755385685,0.7024793388429752
race,Black,606,0.6964285714285714,0.6,0.6446280991735538
race,Asian-Pac-Islander,224,0.6666666666666666,0.5185185185185185,0.5833333333333334
race,Amer-Indian-Eskimo,53,0.75,0.75,0.75
race,Other,63,1.0,0.5,0.6666666666666666
feature,feature value,n_samples,precision,recall,fbeta
sex,Male,4350,0.7601031814273431,0.6681783824640968,0.7111826226870476
sex,Female,2163,0.7515151515151515,0.5061224489795918,0.6048780487804878
feature,feature value,n_samples,precision,recall,fbeta
native-country,United-States,5797,0.7553719008264462,0.6427566807313643,0.6945288753799391
native-country,Germany,24,0.8,0.8,0.8000000000000002
native-country,South,15,1.0,0.25,0.4
native-country,?,135,0.8928571428571429,0.6410256410256411,0.746268656716418
native-country,El-Salvador,22,1.0,1.0,1.0
native-country,Columbia,9,1.0,1.0,1.0
native-country,India,22,0.625,0.5,0.5555555555555556
native-country,Mexico,133,0.8333333333333334,0.625,0.7142857142857143
native-country,Philippines,52,0.875,0.5384615384615384,0.6666666666666667
native-country,Thailand,6,1.0,1.0,1.0
native-country,Vietnam,14,1.0,1.0,1.0
native-country,Puerto-Rico,20,0.6666666666666666,1.0,0.8
native-country,England,16,1.0,0.7777777777777778,0.8750000000000001
native-country,Laos,8,0.0,1.0,0.0
native-country,Dominican-Republic,16,1.0,1.0,1.0
native-country,Italy,16,1.0,1.0,1.0
native-country,Japan,13,0.7142857142857143,0.8333333333333334,0.7692307692307692
native-country,Hong,7,1.0,1.0,1.0
native-country,Nicaragua,4,1.0,1.0,1.0
native-country,Cambodia,2,1.0,1.0,1.0
native-country,China,11,0.6666666666666666,0.6666666666666666,0.6666666666666666
native-country,Scotland,4,1.0,1.0,1.0
native-country,Cuba,22,1.0,0.6666666666666666,0.8
native-country,Canada,28,0.6363636363636364,0.7,0.6666666666666666
native-country,France,8,0.5,0.5,0.5
native-country,Hungary,3,1.0,0.0,0.0
native-country,Taiwan,10,0.75,0.75,0.75
native-country,Greece,7,1.0,1.0,1.0
native-country,Poland,9,0.0,0.0,0.0
native-country,Outlying-US(Guam-USVI-etc),2,1.0,1.0,1.0
native-country,Jamaica,26,0.0,0.0,0.0
native-country,Haiti,7,1.0,1.0,1.0
native-country,Guatemala,12,1.0,1.0,1.0
native-country,Ireland,6,1.0,0.0,0.0
native-country,Peru,2,1.0,1.0,1.0
native-country,Iran,5,1.0,1.0,1.0
native-country,Yugoslavia,4,1.0,0.0,0.0
native-country,Portugal,4,1.0,0.0,0.0
native-country,Trinadad&Tobago,5,0.0,1.0,0.0
native-country,Ecuador,4,1.0,1.0,1.0
native-country,Honduras,3,1.0,1.0,1.0
